pitch,start,end,velocity,instrument
55,70.38454499999999,70.72909593749999,117,0
79,70.57685249999999,70.76915999999999,122,60
82,70.76915999999999,71.08967249999999,123,60
60,70.76915999999999,71.21787749999999,123,0
63,70.76915999999999,71.2419159375,122,0
48,70.76915999999999,72.1553765625,123,0
82,71.153775,71.330056875,122,60
55,71.153775,71.8989665625,117,0
82,71.3460825,72.09928687499999,122,60
60,71.53838999999999,72.02717156249999,118,0
47,71.92300499999999,72.163389375,122,0
63,71.92300499999999,72.1714021875,121,0
55,71.92300499999999,72.27556874999999,119,0
81,72.11531249999999,72.18742781249999,120,60
82,72.11531249999999,72.6842221875,119,60
58,72.30761999999999,72.67620937499998,123,0
63,72.30761999999999,72.76435031249999,122,0
46,72.30761999999999,73.04479875,123,0
67,72.4999275,73.11691406249999,18,0
79,72.692235,73.03678593749999,123,60
55,72.692235,73.1329396875,117,0
75,73.07685,73.17300374999999,123,60
74,73.07685,73.58967,123,60
57,73.07685,73.44543937499999,123,0
63,73.07685,73.6137084375,123,0
45,73.07685,73.85409281249999,123,0
72,73.46146499999999,75.41659125,123,60
55,73.46146499999999,73.84607999999999,118,0
58,73.84607999999999,74.230695,123,0
63,73.84607999999999,74.4230025,123,0
44,73.84607999999999,75.3444759375,123,0
56,74.230695,74.57524593749999,120,0
63,74.61531,75.10409156249999,120,0
60,74.61531,75.38453999999999,121,0
56,74.99992499999999,75.36050156249999,116,0
58,75.38453999999999,75.7771678125,123,0
63,75.38453999999999,76.041590625,123,0
43,75.38453999999999,76.18582124999999,122,0
55,75.769155,76.041590625,113,0
56,76.15377,76.57043624999999,123,0
63,76.15377,76.69864125,123,0
41,76.15377,76.91498718749999,122,0
53,76.53838499999999,76.89896156249999,117,0
78,76.92299999999999,76.98710249999999,123,60
79,76.92299999999999,79.214664375,123,60
67,76.92299999999999,77.37171749999999,123,0
58,76.92299999999999,77.38774312499999,123,0
63,76.92299999999999,77.419794375,123,0
51,76.92299999999999,79.18261312499999,122,0
39,76.92299999999999,79.27075406249999,123,0
75,76.92299999999999,79.310818125,80,48
82,76.92299999999999,80.02395843749999,92,48
39,76.971076875,77.9566528125,125,33
55,77.307615,77.7643453125,93,0
67,77.69223,78.09287062499999,123,0
58,77.69223,78.16498593749999,123,0
63,77.69223,78.19703718749999,122,0
55,78.07684499999999,78.52556249999999,117,0
39,78.124921875,78.2451140625,125,33
67,78.46145999999999,78.83806218749999,123,0
58,78.46145999999999,78.91017749999999,122,0
63,78.46145999999999,79.0624209375,121,0
39,78.509536875,79.27876687499999,125,33
55,78.84607499999998,79.15857468749999,118,0
77,79.23069,79.65536906249999,123,60
62,79.23069,79.57524093749998,123,0
58,79.23069,79.61530499999999,123,0
50,79.23069,79.88774062499999,123,0
38,79.23069,79.98389437499999,122,0
65,79.23069,80.0399840625,123,0
74,79.23069,79.99991999999999,101,48
34,79.27876687499999,80.07203531249999,125,33
79,79.61530499999999,79.83966374999999,122,60
53,79.61530499999999,79.9438303125,117,0
80,79.80761249999999,80.01594562499999,121,60
79,79.99991999999999,82.28357156249999,122,60
60,79.99991999999999,80.25632999999999,123,0
63,79.99991999999999,80.44863749999999,123,0
36,79.99991999999999,82.54799437499999,123,0
48,79.99991999999999,82.63613531249999,123,0
79,79.99991999999999,83.06081437499999,69,48
75,79.99991999999999,83.07683999999999,80,48
72,79.99991999999999,85.83324749999998,91,48
84,79.99991999999999,86.2178625,91,48
36,80.047996875,80.91338062499999,125,33
60,80.38453499999999,80.83325249999999,116,0
63,80.76915,81.4181878125,121,0
67,81.15376499999999,81.56241843749999,117,0
36,81.20184187499999,81.330046875,125,33
62,81.53837999999999,81.939020625,119,0
74,81.53837999999999,82.0592128125,118,0
77,81.53837999999999,82.227481875,100,48
36,81.586456875,82.38773812499998,125,33
63,81.92299499999999,82.98068624999999,119,0
60,82.30761,83.23709625,116,0
72,82.30761,83.509531875,122,0
82,82.30761,83.06081437499999,95,48
31,82.35568687499999,82.7643403125,125,33
